DATE,Consumer_Price_Index,Real_Disposable_Income,,Mortgage_Rate,Population,Unemployment_Rate,Share_Price,House_Price_Index,10_Expected_Inflation,House_Supply
1/1/1947,21.48,,2182.681,,,,,,,
2/1/1947,21.62,,2182.681,,,,,,,
3/1/1947,22,,2182.681,,,,,,,
4/1/1947,22,,2176.892,7.31,,,,,,
5/1/1947,21.95,,2176.892,7.43,,,,,,
6/1/1947,22.08,,2176.892,7.53,,,,,,
7/1/1947,22.23,,2172.432,7.6,,,,,,
8/1/1947,22.4,,2172.432,7.7,,,,,,
9/1/1947,22.84,,2172.432,7.69,,,,,,
10/1/1947,22.91,,2206.452,7.63,,,,,,
11/1/1947,23.06,,2206.452,7.55,,,,,,
12/1/1947,23.41,,2206.452,7.48,,,,,,
1/1/1948,23.68,,2239.682,7.44,,3.4,,,,
2/1/1948,23.67,,2239.682,7.33,,3.8,,,,
3/1/1948,23.5,,2239.682,7.3,,4,,,,
4/1/1948,23.82,,2276.69,7.29,,3.9,,,,
5/1/1948,24.01,,2276.69,7.37,,3.5,,,,
6/1/1948,24.15,,2276.69,7.37,,3.6,,,,
7/1/1948,24.4,,2289.77,7.4,,3.6,,,,
8/1/1948,24.43,,2289.77,7.4,,3.9,,,,
9/1/1948,24.36,,2289.77,7.42,,3.8,,,,
10/1/1948,24.31,,2292.364,7.42,,3.7,,,,
11/1/1948,24.16,,2292.364,7.43,,3.8,,,,
12/1/1948,24.05,,2292.364,7.44,,4,,,,
1/1/1949,24.01,,2260.807,7.44,,4.3,,,,
2/1/1949,23.91,,2260.807,7.44,,4.7,,,,
3/1/1949,23.91,,2260.807,7.46,,5,,,,
4/1/1949,23.92,,2253.128,7.54,,5.3,,,,
5/1/1949,23.91,,2253.128,7.65,,6.1,,,,
6/1/1949,23.92,,2253.128,7.73,,6.2,,,,
7/1/1949,23.7,,2276.424,8.05,,6.7,,,,
8/1/1949,23.7,,2276.424,8.5,,6.8,,,,
9/1/1949,23.75,,2276.424,8.82,,6.6,,,,
10/1/1949,23.67,,2257.352,8.77,,7.9,,,,
11/1/1949,23.7,,2257.352,8.58,,6.4,,,,
12/1/1949,23.61,,2257.352,8.54,,6.6,,,,
1/1/1950,23.51,,2346.104,8.54,,6.5,,,,
2/1/1950,23.61,,2346.104,8.46,,6.4,,,,
3/1/1950,23.64,,2346.104,8.41,,6.3,,,,
4/1/1950,23.65,,2417.682,8.58,,5.8,,,,
5/1/1950,23.77,,2417.682,8.97,,5.5,,,,
6/1/1950,23.88,,2417.682,9.09,,5.4,,,,
7/1/1950,24.07,,2511.127,9.28,,5,,,,
8/1/1950,24.2,,2511.127,9.59,,4.5,,,,
9/1/1950,24.34,,2511.127,9.96,,4.4,,,,
10/1/1950,24.5,,2559.214,9.98,,4.2,,,,
11/1/1950,24.6,,2559.214,9.79,,4.2,,,,
12/1/1950,24.98,,2559.214,9.62,,4.3,,,,
1/1/1951,25.38,,2593.967,9.43,,3.7,,,,
2/1/1951,25.83,,2593.967,9.11,,3.4,,,,
3/1/1951,25.88,,2593.967,8.9,,3.4,,,,
4/1/1951,25.92,,2638.898,8.82,,3.1,,,,
5/1/1951,25.99,,2638.898,8.91,,3,,,,
6/1/1951,25.93,,2638.898,8.89,,3.2,,,,
7/1/1951,25.91,,2693.259,8.89,,3.1,,,,
8/1/1951,25.86,,2693.259,8.94,,3.1,,,,
9/1/1951,26.03,,2693.259,9.13,,3.3,,,,
10/1/1951,26.16,,2699.156,9.22,,3.5,,,,
11/1/1951,26.32,,2699.156,9.15,,3.5,,,,
12/1/1951,26.47,,2699.156,9.1,,3.1,,,,
1/1/1952,26.45,,2727.954,9.02,,3.2,,,,
2/1/1952,26.41,,2727.954,8.81,,3.1,,,,
3/1/1952,26.39,,2727.954,8.76,,2.9,,,,
4/1/1952,26.46,,2733.8,8.73,,2.9,,,,
5/1/1952,26.47,,2733.8,8.77,,3,,,,
6/1/1952,26.53,,2733.8,8.85,,3,,,,
7/1/1952,26.68,,2753.517,8.93,,3.2,,,,
8/1/1952,26.69,,2753.517,9,,3.4,,,,
9/1/1952,26.63,,2753.517,8.98,,3.1,,,,
10/1/1952,26.69,,2843.941,8.93,,3,,,,
11/1/1952,26.69,,2843.941,8.81,,2.8,,,,
12/1/1952,26.71,,2843.941,8.79,,2.7,,,,
1/1/1953,26.64,,2896.811,8.72,,2.9,,,,
2/1/1953,26.59,,2896.811,8.67,,2.6,,,,
3/1/1953,26.63,,2896.811,8.69,,2.6,,,,
4/1/1953,26.69,,2919.206,8.75,,2.7,,,,
5/1/1953,26.7,,2919.206,8.83,,2.5,,,,
6/1/1953,26.77,,2919.206,8.86,,2.5,,,,
7/1/1953,26.79,,2902.785,8.94,,2.6,,,,
8/1/1953,26.85,,2902.785,8.94,,2.7,,,,
9/1/1953,26.89,,2902.785,8.9,,2.9,,,,
10/1/1953,26.95,,2858.845,8.92,,3.1,,,,
11/1/1953,26.85,,2858.845,8.92,,3.5,,,,
12/1/1953,26.87,,2858.845,8.96,,4.5,,,,
1/1/1954,26.94,,2845.192,9.02,,4.9,,,,
2/1/1954,26.99,,2845.192,9.15,,5.2,,,,
3/1/1954,26.93,,2845.192,9.2,,5.7,,,,
4/1/1954,26.86,,2848.305,9.36,,5.9,,,,
5/1/1954,26.93,,2848.305,9.57,,5.9,,,,
6/1/1954,26.94,,2848.305,9.71,,5.6,,,,
7/1/1954,26.86,,2880.482,9.74,,5.8,,,,
8/1/1954,26.85,,2880.482,9.79,,6,,,,
9/1/1954,26.81,,2880.482,9.76,,6.1,,,,
10/1/1954,26.72,,2936.852,9.86,,5.7,,,,
11/1/1954,26.78,,2936.852,10.11,,5.3,,,,
12/1/1954,26.77,,2936.852,10.35,,5,,,,
1/1/1955,26.77,,3020.746,10.39,,4.9,,,,
2/1/1955,26.82,,3020.746,10.41,,4.7,,,,
3/1/1955,26.79,,3020.746,10.43,,4.6,,,,
4/1/1955,26.79,,3069.91,10.5,,4.7,,,,
5/1/1955,26.77,,3069.91,10.69,,4.3,,,,
6/1/1955,26.71,,3069.91,11.04,,4.2,,,,
7/1/1955,26.76,,3111.379,11.09,,4,,,,
8/1/1955,26.72,,3111.379,11.09,,4.2,,,,
9/1/1955,26.85,,3111.379,11.3,,4.1,,,,
10/1/1955,26.82,,3130.068,11.64,,4.3,,,,
11/1/1955,26.88,,3130.068,12.83,,4.2,,,,
12/1/1955,26.87,,3130.068,12.9,,4.2,,,,
1/1/1956,26.83,,3117.922,12.88,,4,,,,
2/1/1956,26.86,,3117.922,13.04,,3.9,,,,
3/1/1956,26.89,,3117.922,15.28,,4.2,,,,
4/1/1956,26.93,,3143.694,16.33,,4,,,,
5/1/1956,27.03,,3143.694,14.26,,4.3,,,,
6/1/1956,27.15,,3143.694,12.71,,4.3,,,,
7/1/1956,27.29,,3140.874,12.19,,4.4,,,,
8/1/1956,27.31,,3140.874,12.56,,4.1,,,,
9/1/1956,27.35,,3140.874,13.2,,3.9,,,,
10/1/1956,27.51,,3192.57,13.79,,3.9,,,,
11/1/1956,27.51,,3192.57,14.21,,4.3,,,,
12/1/1956,27.63,,3192.57,14.79,,4.2,,,,
1/1/1957,27.67,,3213.011,14.9,,4.2,2.534246,,,
2/1/1957,27.8,,3213.011,15.13,,3.9,2.433548,,,
3/1/1957,27.86,,3213.011,15.4,,3.7,2.46152,,,
4/1/1957,27.93,,3205.97,15.58,,3.9,2.528652,,,
5/1/1957,28,,3205.97,16.4,,4.1,2.612568,,,
6/1/1957,28.11,,3205.97,16.7,,4.3,2.634945,,,
7/1/1957,28.19,,3237.386,16.83,,4.2,2.6797,,,
8/1/1957,28.28,,3237.386,17.29,,4.1,2.545435,,,
9/1/1957,28.32,,3237.386,18.16,,4.4,2.455925,,,
10/1/1957,28.32,,3203.894,18.45,,4.5,2.310472,,,
11/1/1957,28.41,,3203.894,17.83,,5.1,2.276906,,,
12/1/1957,28.47,,3203.894,16.92,,5.2,2.276906,,,
1/1/1958,28.64,,3120.724,17.4,,5.8,2.321661,,,
2/1/1958,28.7,,3120.724,17.6,,6.4,2.316066,,,
3/1/1958,28.87,,3120.724,17.16,,6.7,2.344038,,,
4/1/1958,28.94,,3141.224,16.89,,7.4,2.327255,,,
5/1/1958,28.94,,3141.224,16.68,,7.4,2.399982,,,
6/1/1958,28.91,,3141.224,16.7,,7.3,2.46152,,,
7/1/1958,28.89,,3213.884,16.82,,7.5,2.545435,,,
8/1/1958,28.94,,3213.884,16.27,,7.4,2.646134,,,
9/1/1958,28.91,,3213.884,15.43,,7.1,2.71886,,,
10/1/1958,28.91,,3289.032,14.61,,6.7,2.813965,,,
11/1/1958,28.95,,3289.032,13.83,,6.2,2.903475,,,
12/1/1958,28.97,,3289.032,13.62,,6.2,2.953824,,,
1/1/1959,29.01,2318.4,3352.129,13.25,175818,6,3.088089,,,
2/1/1959,29,2325.4,3352.129,13.04,176044,5.9,3.0769,,,
3/1/1959,28.97,2338.7,3352.129,12.8,176274,5.6,3.172004,,,
4/1/1959,28.98,2353.8,3427.667,12.78,176503,5.2,3.216759,,,
5/1/1959,29.04,2366.6,3427.667,12.63,176723,5.1,3.289485,,,
6/1/1959,29.11,2374.5,3427.667,12.87,176954,5,3.289485,,,
7/1/1959,29.15,2370.8,3430.057,13.42,177208,5.1,3.451722,,,
8/1/1959,29.18,2356.8,3430.057,13.81,177479,5.2,3.440533,,,
9/1/1959,29.25,2357.8,3430.057,13.73,177755,5.5,3.311863,,,
10/1/1959,29.35,2359.5,3439.832,13.54,178026,5.7,3.323052,,,
11/1/1959,29.35,2376.6,3439.832,13.44,178273,5.8,3.367807,,,
12/1/1959,29.41,2399.7,3439.832,13.42,178504,5.3,3.496477,,,
1/1/1960,29.37,2404.9,3517.181,13.37,178925,5.2,3.418156,,,
2/1/1960,29.41,2405.3,3517.181,13.23,179326,4.8,3.255919,,,
3/1/1960,29.41,2408.1,3517.181,13.39,179707,5.4,3.20557,,,
4/1/1960,29.54,2417.3,3498.246,13.65,180067,5.2,3.233542,,,
5/1/1960,29.57,2422.6,3498.246,13.94,180408,5.1,3.20557,,,
6/1/1960,29.61,2424.9,3498.246,14.42,180728,5.4,3.356618,,,
7/1/1960,29.55,2428.8,3515.385,14.67,181028,5.5,3.261514,,,
8/1/1960,29.61,2423.3,3515.385,14.47,181308,5.6,3.255919,,,
9/1/1960,29.61,2426.7,3515.385,14.35,181567,5.5,3.11606,,,
10/1/1960,29.75,2435.6,3470.278,14.13,181807,6.1,3.037739,,,
11/1/1960,29.78,2425.5,3470.278,13.64,182026,6.1,3.132843,,,
12/1/1960,29.81,2414.6,3470.278,13.18,182225,6.6,3.177598,,,
1/1/1961,29.84,2437.9,3493.703,13.08,182404,6.6,3.29508,,,
2/1/1961,29.84,2448.1,3493.703,12.92,182631,6.9,3.390184,,,
3/1/1961,29.84,2458.4,3493.703,13.17,182867,6.9,3.496477,,,
4/1/1961,29.81,2463.4,3553.021,13.2,183105,7,3.569204,,,
5/1/1961,29.84,2483.5,3553.021,12.91,183335,7.1,3.613959,,,
6/1/1961,29.84,2509.1,3553.021,12.22,183572,6.9,3.60277,,,
7/1/1961,29.92,2517.6,3621.252,12.03,183825,7,3.597176,,,
8/1/1961,29.94,2517.7,3621.252,12.19,184101,6.6,3.742629,,,
9/1/1961,29.98,2519.9,3621.252,12.19,184384,6.7,3.703468,,,
10/1/1961,29.98,2546.6,3692.289,12.14,184654,6.5,3.664308,,,
11/1/1961,29.98,2570.1,3692.289,11.78,184900,6.1,3.776195,,,
12/1/1961,30.01,2585.8,3692.289,11.26,185129,6,3.798573,,,
1/1/1962,30.04,2579.4,3758.147,10.89,185347,5.8,3.675497,,,
2/1/1962,30.11,2590.9,3758.147,10.71,185551,5.5,3.709063,,,
3/1/1962,30.17,2608.1,3758.147,10.08,185762,5.6,3.720252,,,
4/1/1962,30.21,2619.6,3792.149,9.94,185981,5.6,3.597176,,,
5/1/1962,30.24,2621.1,3792.149,10.14,186201,5.5,3.356618,,,
