DATE,Consumer_Price_Index,Real_Disposable_Income
1/1/1947,21.48,
2/1/1947,21.62,
3/1/1947,22,
4/1/1947,22,
5/1/1947,21.95,
6/1/1947,22.08,
7/1/1947,22.23,
8/1/1947,22.4,
9/1/1947,22.84,
10/1/1947,22.91,
11/1/1947,23.06,
12/1/1947,23.41,
1/1/1948,23.68,
2/1/1948,23.67,
3/1/1948,23.5,
4/1/1948,23.82,
5/1/1948,24.01,
6/1/1948,24.15,
7/1/1948,24.4,
8/1/1948,24.43,
9/1/1948,24.36,
10/1/1948,24.31,
11/1/1948,24.16,
12/1/1948,24.05,
1/1/1949,24.01,
2/1/1949,23.91,
3/1/1949,23.91,
4/1/1949,23.92,
5/1/1949,23.91,
6/1/1949,23.92,
7/1/1949,23.7,
8/1/1949,23.7,
9/1/1949,23.75,
10/1/1949,23.67,
11/1/1949,23.7,
12/1/1949,23.61,
1/1/1950,23.51,
2/1/1950,23.61,
3/1/1950,23.64,
4/1/1950,23.65,
5/1/1950,23.77,
6/1/1950,23.88,
7/1/1950,24.07,
8/1/1950,24.2,
9/1/1950,24.34,
10/1/1950,24.5,
11/1/1950,24.6,
12/1/1950,24.98,
1/1/1951,25.38,
2/1/1951,25.83,
3/1/1951,25.88,
4/1/1951,25.92,
5/1/1951,25.99,
6/1/1951,25.93,
7/1/1951,25.91,
8/1/1951,25.86,
9/1/1951,26.03,
10/1/1951,26.16,
11/1/1951,26.32,
12/1/1951,26.47,
1/1/1952,26.45,
2/1/1952,26.41,
3/1/1952,26.39,
4/1/1952,26.46,
5/1/1952,26.47,
6/1/1952,26.53,
7/1/1952,26.68,
8/1/1952,26.69,
9/1/1952,26.63,
10/1/1952,26.69,
11/1/1952,26.69,
12/1/1952,26.71,
1/1/1953,26.64,
2/1/1953,26.59,
3/1/1953,26.63,
4/1/1953,26.69,
5/1/1953,26.7,
6/1/1953,26.77,
7/1/1953,26.79,
8/1/1953,26.85,
9/1/1953,26.89,
10/1/1953,26.95,
11/1/1953,26.85,
12/1/1953,26.87,
1/1/1954,26.94,
2/1/1954,26.99,
3/1/1954,26.93,
4/1/1954,26.86,
5/1/1954,26.93,
6/1/1954,26.94,
7/1/1954,26.86,
8/1/1954,26.85,
9/1/1954,26.81,
10/1/1954,26.72,
11/1/1954,26.78,
12/1/1954,26.77,
1/1/1955,26.77,
2/1/1955,26.82,
3/1/1955,26.79,
4/1/1955,26.79,
5/1/1955,26.77,
6/1/1955,26.71,
7/1/1955,26.76,
8/1/1955,26.72,
9/1/1955,26.85,
10/1/1955,26.82,
11/1/1955,26.88,
12/1/1955,26.87,
1/1/1956,26.83,
2/1/1956,26.86,
3/1/1956,26.89,
4/1/1956,26.93,
5/1/1956,27.03,
6/1/1956,27.15,
7/1/1956,27.29,
8/1/1956,27.31,
9/1/1956,27.35,
10/1/1956,27.51,
11/1/1956,27.51,
12/1/1956,27.63,
1/1/1957,27.67,
2/1/1957,27.8,
3/1/1957,27.86,
4/1/1957,27.93,
5/1/1957,28,
6/1/1957,28.11,
7/1/1957,28.19,
8/1/1957,28.28,
9/1/1957,28.32,
10/1/1957,28.32,
11/1/1957,28.41,
12/1/1957,28.47,
1/1/1958,28.64,
2/1/1958,28.7,
3/1/1958,28.87,
4/1/1958,28.94,
5/1/1958,28.94,
6/1/1958,28.91,
7/1/1958,28.89,
8/1/1958,28.94,
9/1/1958,28.91,
10/1/1958,28.91,
11/1/1958,28.95,
12/1/1958,28.97,
1/1/1959,29.01,2318.4
2/1/1959,29,2325.4
3/1/1959,28.97,2338.7
4/1/1959,28.98,2353.8
5/1/1959,29.04,2366.6
6/1/1959,29.11,2374.5
7/1/1959,29.15,2370.8
8/1/1959,29.18,2356.8
9/1/1959,29.25,2357.8
10/1/1959,29.35,2359.5
11/1/1959,29.35,2376.6
12/1/1959,29.41,2399.7
1/1/1960,29.37,2404.9
2/1/1960,29.41,2405.3
3/1/1960,29.41,2408.1
4/1/1960,29.54,2417.3
5/1/1960,29.57,2422.6
6/1/1960,29.61,2424.9
7/1/1960,29.55,2428.8
8/1/1960,29.61,2423.3
9/1/1960,29.61,2426.7
10/1/1960,29.75,2435.6
11/1/1960,29.78,2425.5
12/1/1960,29.81,2414.6
1/1/1961,29.84,2437.9
2/1/1961,29.84,2448.1
3/1/1961,29.84,2458.4
4/1/1961,29.81,2463.4
5/1/1961,29.84,2483.5
6/1/1961,29.84,2509.1
7/1/1961,29.92,2517.6
8/1/1961,29.94,2517.7
9/1/1961,29.98,2519.9
10/1/1961,29.98,2546.6
11/1/1961,29.98,2570.1
12/1/1961,30.01,2585.8
1/1/1962,30.04,2579.4
2/1/1962,30.11,2590.9
3/1/1962,30.17,2608.1
4/1/1962,30.21,2619.6
5/1/1962,30.24,2621.1
6/1/1962,30.21,2621.6
7/1/1962,30.22,2633
8/1/1962,30.28,2635.5
9/1/1962,30.42,2636.3
10/1/1962,30.38,2649.3
11/1/1962,30.38,2656.5
12/1/1962,30.38,2669
1/1/1963,30.44,2688.2
